"","","","",""
"","Your firm","Total: All Businesses","Occupancy Rate: Leaders","Occupancy Rate: Laggers"
"Total Income per daily bed available","","$12,232","$15,380","$10,750"
"Total Income per bed night sold","","$43","$43","$46"
"Occupancy Rate","","79.72%","96.45%","64.61%"
"Repairs & Maintenance cost per sq metre","","$21","$21","$26"
"Direct Wages/bed night sold","","$12.65","$6.57","$19.62"
"Number of daily beds per..."
"Directors/Principals/Managers/College Heads","","385","491","413"
"All Other Direct Staff","","12","n/a","n/a"
"Ratio of Staff to daily beds..."
"Total Direct Staff/Daily Beds","","0.09","0.11","0.05"
"Total Contractors/Daily Beds","","0.00","0.00","0.00"
"Age of Residence in Years","","29.40","15.06","34.93"
"% Type of Accommodation:"
"College","","50.21%","28.33%","66.00%"
"Apartments","","17.68%","38.33%","0.67%"
"Halls","","32.11%","33.33%","33.33%"
"% Style of Accomodation:"
"Catered","","62.45%","28.33%","74.33%"
"Self or non catered","","37.55%","71.67%","25.67%"
"% Allocation Offered:"
"Single gender accommodation","","12.64%","8.67%","0.00%"
"Mixed gender accommodation","","87.36%","91.33%","100.00%"
"% Type of Room Offered:"
"Bedrooms with ensuites","","15.51%","45.33%","4.72%"
"Shared bedrooms","","13.07%","27.00%","18.67%"
"Single room-dorm style commons","","51.96%","0.00%","74.07%"
"Shared apartments","","19.44%","27.67%","2.33%"
"% Residential Agreements under State Tenancy Laws","","4.17%","33.33%","0.00%"
"% Demographic of Student Residents:"
"Local (Australian citizens, permanent residents)","","73.03%","40.33%","94.57%"
"International","","26.98%","59.67%","5.43%"
